NEODEN,YY1,P&P FILE,,,,,,,,,,
,,,,,,,,,,,,
PanelizedPCB,UnitLength,0,UnitWidth,0,Rows,1,Columns,1,,,,
F2,Cau chi 1206,Cau_chi_1206,-49.85,7.99,90.00,0,19,100,0,0,1,0
F1,CH340C,SOIC-16_50,-19.44,37.77,270.00,0,20,100,0,0,1,0
U1,ESP32-S3-WROOM-1U-N8R8,ESP32-S3-WROOM-1U,-38.80,46.89,0.00,0,21,100,0,0,1,0
HX1,HX710B,HX710B,-16.57,48.52,270.00,0,22,100,0,0,1,0
MK1,ICS-43434,MIC_SMD,-44.60,30.50,270.00,0,23,100,0,0,1,0
L1,LED 0603,led_0603,-26.57,47.62,270.00,0,24,100,0,0,1,0
M1,Module SimA7680C,Module_SimA7680C,-32.30,15.38,0.00,0,25,100,0,0,1,0
S4,Nut nhan 2P SMD,Button_2P_SMD,-27.05,53.48,90.00,0,26,100,0,0,1,0
S5,Nut nhan 2P SMD,Button_2P_SMD,-54.44,53.41,90.00,0,26,100,0,0,1,0
S1,nut nhan 4,Button_4P_SMD,-59.30,14.68,270.00,0,27,100,0,0,1,0
S2,nut nhan 4,Button_4P_SMD,-59.30,43.05,270.00,0,27,100,0,0,1,0
S3,nut nhan 4,Button_4P_SMD,-59.30,28.86,270.00,0,27,100,0,0,1,0
U3,PAM8302AADCR,PAM8302,-33.05,12.20,180.00,0,28,100,0,0,1,0
MPS1,Pressure Sensor,MPS20N004D-S,-9.38,49.33,270.00,0,29,100,0,0,1,0
D3,SS34,DIODE_SMA,-13.45,13.07,0.00,0,30,100,0,0,1,0
D4,SS34,DIODE_SMA,-13.45,25.27,0.00,0,30,100,0,0,1,0
D1,TESDU5V0_RGG,DIO_TESDU5V0_RGG,-8.65,40.02,270.00,0,31,100,0,0,1,0
D2,TESDU5V0_RGG,DIO_TESDU5V0_RGG,-9.93,36.42,0.00,0,31,100,0,0,1,0
Header2,VanKhi,Header_2P_2.0_SMD,-5.13,21.28,270.00,0,32,100,0,0,1,0
Via1,Via_2.2mm,Via_2.2mm,-3.27,3.00,0.00,0,33,100,0,0,1,0
Via2,Via_2.2mm,Via_2.2mm,-61.00,3.00,0.00,0,33,100,0,0,1,0
Via3,Via_2.2mm,Via_2.2mm,-3.27,54.27,0.00,0,33,100,0,0,1,0
Via4,Via_2.2mm,Via_2.2mm,-61.00,54.27,0.00,0,33,100,0,0,1,0
